[2026-03-08 12:25:00] BLOCKED - IP: 64.227.70.2 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:00] BLOCKED - IP: 164.92.107.174 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:01] BLOCKED - IP: 206.81.24.227 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:01] BLOCKED - IP: 142.93.129.190 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:01] BLOCKED - IP: 164.92.107.174 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:01] BLOCKED - IP: 64.227.70.2 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:02] BLOCKED - IP: 206.81.24.227 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:02] BLOCKED - IP: 142.93.129.190 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net)' | UA: Mozilla/5.0 (l9scan/2.0.33e27393e2431313e2838313; +https://leakix.net) | Referer: Direct
[2026-03-08 12:25:05] BLOCKED - IP: 104.197.69.115 | Reason: IP_ISP_BLOCKED: ISP 'Google LLC' contains blocked keyword 'google' | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 | Referer: Direct
[2026-03-08 12:25:08] BLOCKED - IP: 34.72.176.129 | Reason: IP_ISP_BLOCKED: ISP 'Google LLC' contains blocked keyword 'google' | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 | Referer: Direct
[2026-03-08 12:26:36] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:26:36] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:26:36] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:26:39] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:12] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:12] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:12] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:13] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:33] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:27:34] BLOCKED - IP: 176.65.148.161 | Reason: USER_AGENT_REGEX_PATTERN: '/http/i' matched in 'Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)' | UA: Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org) | Referer: Direct
[2026-03-08 12:39:59] BLOCKED - IP: 34.248.137.227 | Reason: IP_ISP_BLOCKED: ISP 'Amazon Technologies Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0 | Referer: Direct
[2026-03-08 12:40:00] BLOCKED - IP: 34.248.137.227 | Reason: IP_ISP_BLOCKED: ISP 'Amazon Technologies Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 | Referer: Direct
[2026-03-08 12:40:16] BLOCKED - IP: 34.248.137.227 | Reason: IP_ISP_BLOCKED: ISP 'Amazon Technologies Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0 | Referer: Direct
[2026-03-08 12:40:18] BLOCKED - IP: 34.248.137.227 | Reason: IP_ISP_BLOCKED: ISP 'Amazon Technologies Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0 | Referer: Direct
[2026-03-08 12:44:08] BLOCKED - IP: 100.55.51.162 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:44:13] BLOCKED - IP: 98.94.29.190 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:44:13] BLOCKED - IP: 98.94.29.190 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:45:44] BLOCKED - IP: 3.89.91.228 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:50:09] BLOCKED - IP: 3.89.91.228 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:50:28] BLOCKED - IP: 3.89.91.228 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:57:50] BLOCKED - IP: 34.229.195.226 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 12:58:06] BLOCKED - IP: 34.229.195.226 | Reason: USER_AGENT_BOT_PATTERN: 'axios' found in 'axios/1.13.5' | UA: axios/1.13.5 | Referer: Direct
[2026-03-08 13:03:36] BLOCKED - IP: 74.7.227.33 | Reason: USER_AGENT_BOT_PATTERN: 'GPTBot' found in 'Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot)' | UA: Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.3; +https://openai.com/gptbot) | Referer: Direct
[2026-03-08 13:10:42] BLOCKED - IP: 34.34.49.206 | Reason: USER_AGENT_BOT_PATTERN: 'Scrapy' found in 'Scrapy/2.13.4 (+https://scrapy.org)' | UA: Scrapy/2.13.4 (+https://scrapy.org) | Referer: Direct
[2026-03-08 14:36:47] BLOCKED - IP: 104.28.245.127 | Reason: IP_ISP_BLOCKED: ISP 'Cloudflare, Inc.' contains blocked keyword 'cloudflare' | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 | Referer: android-app://com.google.android.gm/
[2026-03-08 14:37:03] BLOCKED - IP: 104.28.245.127 | Reason: IP_ISP_BLOCKED: ISP 'Cloudflare, Inc.' contains blocked keyword 'cloudflare' | UA: Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 | Referer: android-app://com.google.android.gm/
[2026-03-08 14:37:27] BLOCKED - IP: 167.94.146.51 | Reason: USER_AGENT_BOT_PATTERN: 'CensysInspect' found in 'Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)' | UA: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | Referer: Direct
[2026-03-08 14:55:27] BLOCKED - IP: 199.45.154.137 | Reason: USER_AGENT_BOT_PATTERN: 'CensysInspect' found in 'Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)' | UA: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | Referer: Direct
[2026-03-08 14:55:57] BLOCKED - IP: 167.94.138.182 | Reason: USER_AGENT_BOT_PATTERN: 'CensysInspect' found in 'Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)' | UA: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | Referer: Direct
[2026-03-08 14:57:08] BLOCKED - IP: 199.45.154.144 | Reason: USER_AGENT_BOT_PATTERN: 'CensysInspect' found in 'Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)' | UA: Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/) | Referer: Direct
[2026-03-08 15:00:52] BLOCKED - IP: 54.212.135.86 | Reason: IP_ISP_BLOCKED: ISP 'Amazon.com, Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 14_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1 | Referer: Direct
[2026-03-08 15:00:52] BLOCKED - IP: 54.212.135.86 | Reason: IP_ISP_BLOCKED: ISP 'Amazon.com, Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 | Referer: Direct
[2026-03-08 15:23:19] BLOCKED - IP: 136.119.73.173 | Reason: IP_ISP_BLOCKED: ISP 'Google LLC' contains blocked keyword 'google' | UA: Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36 | Referer: Direct
[2026-03-08 15:23:39] BLOCKED - IP: 34.135.186.44 | Reason: IP_ISP_BLOCKED: ISP 'Google LLC' contains blocked keyword 'google' | UA: Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/23.0 | Referer: Direct
[2026-03-08 15:24:52] BLOCKED - IP: 34.135.234.87 | Reason: IP_ISP_BLOCKED: ISP 'Google LLC' contains blocked keyword 'google' | UA: Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2224.3 Safari/537.36 | Referer: Direct
[2026-03-08 15:27:27] BLOCKED - IP: 180.252.160.75 | Reason: USER_AGENT_BOT_PATTERN: 'WhatsApp' found in 'WhatsApp/2.23.20.0' | UA: WhatsApp/2.23.20.0 | Referer: Direct
[2026-03-08 15:34:48] BLOCKED - IP: 149.154.161.203 | Reason: USER_AGENT_BOT_PATTERN: 'Twitterbot' found in 'TelegramBot (like TwitterBot)' | UA: TelegramBot (like TwitterBot) | Referer: Direct
[2026-03-08 15:39:49] BLOCKED - IP: 18.237.107.80 | Reason: IP_ISP_BLOCKED: ISP 'Amazon.com, Inc.' contains blocked keyword 'amazon' | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 | Referer: Direct
[2026-03-08 17:39:23] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:33] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:34] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:34] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:35] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:35] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:40:36] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
[2026-03-08 17:42:19] BLOCKED - IP: 185.177.72.30 | Reason: USER_AGENT_BOT_PATTERN: 'curl' found in 'curl/8.7.1' | UA: curl/8.7.1 | Referer: Direct
